Source,Target,Weight
Afghanistan,Bangladesh,1
Afghanistan,Cambodia,1
Afghanistan,Hong Kong,3
Afghanistan,India,5
Afghanistan,Malaysia,3
Afghanistan,Oman,6
Afghanistan,Qatar,6
Afghanistan,Singapore,1
Afghanistan,Tajikistan,1
Afghanistan,Turkmenistan,3
Afghanistan,Vietnam,3
Albania,Andorra,1
Albania,Czech Republic,3
Albania,England,6
Albania,Estonia,1
Albania,France,6
Albania,Georgia,1
Albania,Iceland,9
Albania,Israel,27
Albania,Italy,3
Albania,Jordan,1
Albania,Kazakhstan,3
Albania,Lithuania,12
Albania,Poland,6
Albania,Qatar,3
Albania,Saudi Arabia,1
Albania,Scotland,18
Albania,Spain,3
Albania,Turkey,6
Albania,Wales,1
Algeria,Benin,3
Algeria,Burkina Faso,2
Algeria,Burundi,1
Algeria,Cameroon,3
Algeria,DR Congo,1
Algeria,Egypt,1
Algeria,Equatorial Guinea,3
Algeria,Gambia,1
Algeria,Ivory Coast,4
Algeria,Mali,1
Algeria,Mexico,1
Algeria,Morocco,5
Algeria,Sierra Leone,1
Algeria,Sweden,3
Algeria,Zambia,1
American Samoa,Fiji,3
American Samoa,New Caledonia,3
American Samoa,Solomon Islands,3
American Samoa,Tuvalu,1
Andorra,Albania,10
Andorra,Austria,3
Andorra,Cape Verde,3
Andorra,England,6
Andorra,Faroe Islands,18
Andorra,France,6
Andorra,Georgia,12
Andorra,Gibraltar,4
Andorra,Hungary,6
Andorra,Iceland,6
Andorra,Kazakhstan,12
Andorra,Latvia,30
Andorra,Malta,12
Andorra,Moldova,15
Andorra,Poland,6
Andorra,Portugal,3
Andorra,Republic of Ireland,3
Andorra,Turkey,6
Andorra,United Arab Emirates,1
Angola,Egypt,4
Angola,Equatorial Guinea,1
Angola,Eswatini,2
Angola,Gabon,6
Angola,Gambia,6
Angola,Libya,4
Angola,Madagascar,1
Angola,Mali,3
Angola,Mauritania,4
Angola,South Africa,1
Angola,Tunisia,1
Anguilla,Bahamas,1
Anguilla,Barbados,3
Anguilla,Dominica,5
Anguilla,Dominican Republic,3
Anguilla,French Guiana,3
Anguilla,Guatemala,6
Anguilla,Nicaragua,3
Anguilla,Panama,3
Anguilla,Puerto Rico,6
Anguilla,Saint Lucia,3
Anguilla,Saint Martin,3
Anguilla,Sint Maarten,1
Anguilla,Trinidad and Tobago,3
Anguilla,United States Virgin Islands,3
Antigua and Barbuda,Cuba,6
Antigua and Barbuda,El Salvador,3
Antigua and Barbuda,Guatemala,3
Antigua and Barbuda,Guyana,3
Antigua and Barbuda,Jamaica,6
Antigua and Barbuda,Martinique,3
Antigua and Barbuda,Montserrat,1
Antigua and Barbuda,Saint Kitts and Nevis,3
Antigua and Barbuda,Saint Lucia,3
Argentina,Brazil,13
Argentina,Chile,5
Argentina,Colombia,14
Argentina,Ecuador,1
Argentina,France,4
Argentina,Germany,1
Argentina,Netherlands,4
Argentina,Paraguay,5
Argentina,Saudi Arabia,12
Argentina,Uruguay,1
Argentina,Venezuela,3
Armenia,Albania,3
Armenia,Bosnia and Herzegovina,3
Armenia,Croatia,1
Armenia,Estonia,3
Armenia,Finland,6
Armenia,Georgia,3
Armenia,Germany,6
Armenia,Gibraltar,9
Armenia,Greece,3
Armenia,Iceland,1
Armenia,Italy,6
Armenia,Kosovo,1
Armenia,Liechtenstein,5
Armenia,North Macedonia,22
Armenia,Norway,3
Armenia,Republic of Ireland,9
Armenia,Romania,3
Armenia,Scotland,18
Armenia,Sweden,3
Armenia,Ukraine,18
Aruba,Antigua and Barbuda,6
Aruba,Bermuda,3
Aruba,Canada,3
Aruba,Guadeloupe,1
Aruba,Guyana,6
Aruba,Jamaica,6
Aruba,Montserrat,3
Aruba,Saint Kitts and Nevis,3
Aruba,Saint Lucia,3
Aruba,Saint Martin,1
Aruba,Suriname,3
Australia,Argentina,12
Australia,China PR,1
Australia,France,12
Australia,Japan,6
Australia,Jordan,3
Australia,Oman,1
Australia,Peru,1
Australia,Saudi Arabia,4
Australia,South Korea,4
Australia,United Arab Emirates,3
Australia,Uzbekistan,1
Austria,Bosnia and Herzegovina,12
Austria,Croatia,9
Austria,Denmark,27
Austria,England,3
Austria,France,12
Austria,Israel,6
Austria,Italy,3
Austria,Latvia,3
Austria,Netherlands,3
Austria,Norway,3
Austria,Poland,4
Austria,Romania,9
Austria,Scotland,5
Austria,Slovakia,1
Austria,Wales,3
Azerbaijan,Belarus,3
Azerbaijan,Croatia,4
Azerbaijan,Cyprus,3
Azerbaijan,Hungary,6
Azerbaijan,Kazakhstan,9
Azerbaijan,Kosovo,12
Azerbaijan,Latvia,3
Azerbaijan,Lithuania,1
Azerbaijan,Luxembourg,18
Azerbaijan,Malta,9
Azerbaijan,Moldova,3
Azerbaijan,Montenegro,12
Azerbaijan,Portugal,6
Azerbaijan,Qatar,4
Azerbaijan,Republic of Ireland,4
Azerbaijan,Serbia,6
Azerbaijan,Slovakia,15
Azerbaijan,Slovenia,1
Azerbaijan,Turkey,3
Azerbaijan,Wales,6
Bahamas,Anguilla,1
Bahamas,Antigua and Barbuda,3
Bahamas,Belize,3
Bahamas,Bonaire,1
Bahamas,Dominica,3
Bahamas,Guadeloupe,3
Bahamas,Guyana,3
Bahamas,Nicaragua,6
Bahamas,Puerto Rico,3
Bahamas,Saint Kitts and Nevis,3
Bahamas,Trinidad and Tobago,4
Bahamas,Turks and Caicos Islands,3
Bahrain,Azerbaijan,3
Bahrain,Belarus,3
Bahrain,Canada,1
Bahrain,Cape Verde,3
Bahrain,China PR,1
Bahrain,Hong Kong,1
Bahrain,Iran,3
Bahrain,Iraq,4
Bahrain,Jordan,6
Bahrain,New Zealand,3
Bahrain,Oman,7
Bahrain,Panama,3
Bahrain,Philippines,1
Bahrain,Qatar,3
Bahrain,Saudi Arabia,3
Bahrain,Serbia,3
Bahrain,South Korea,3
Bahrain,Syria,3
Bahrain,Thailand,6
Bahrain,Ukraine,1
Bahrain,United Arab Emirates,4
Bangladesh,Afghanistan,4
Bangladesh,Bahrain,3
Bangladesh,India,5
Bangladesh,Indonesia,1
Bangladesh,Kyrgyzstan,3
Bangladesh,Laos,1
Bangladesh,Malaysia,3
Bangladesh,Maldives,6
Bangladesh,Mongolia,1
Bangladesh,Nepal,12
Bangladesh,Oman,6
Bangladesh,Palestine,3
Bangladesh,Qatar,6
Bangladesh,Seychelles,1
Bangladesh,Sri Lanka,6
Bangladesh,Turkmenistan,3
Barbados,Antigua and Barbuda,3
Barbados,Belize,3
Barbados,Bermuda,3
Barbados,Canada,6
Barbados,Cayman Islands,3
Barbados,Cuba,7
Barbados,Dominica,1
Barbados,Dominican Republic,1
Barbados,El Salvador,3
Barbados,Guadeloupe,6
Barbados,Guyana,6
Barbados,Jamaica,1
Barbados,Nicaragua,3
Barbados,Panama,3
Barbados,Saint Martin,3
Barbados,Saint Vincent and the Grenadines,1
Barbados,Suriname,3
Barbados,Trinidad and Tobago,3
Basque Country,Panama,1
Belarus,Albania,18
Belarus,Azerbaijan,15
Belarus,Belgium,6
Belarus,Czech Republic,6
Belarus,Estonia,4
Belarus,Georgia,3
Belarus,Germany,6
Belarus,Honduras,1
Belarus,Kazakhstan,12
Belarus,Lithuania,3
Belarus,Moldova,6
Belarus,Montenegro,3
Belarus,Netherlands,6
Belarus,Northern Ireland,6
Belarus,Oman,3
Belarus,Romania,3
Belarus,Slovakia,12
Belarus,Wales,9
Belgium,Croatia,4
Belgium,Czech Republic,1
Belgium,Egypt,3
Belgium,England,9
Belgium,France,9
Belgium,Greece,1
Belgium,Italy,12
Belgium,Ivory Coast,1
Belgium,Morocco,12
Belgium,Netherlands,19
Belgium,Republic of Ireland,1
Belgium,Switzerland,9
Belgium,Wales,4
Belize,Cuba,3
Belize,Dominican Republic,3
Belize,French Guiana,7
Belize,Grenada,6
Belize,Guatemala,3
Belize,Guyana,3
Belize,Haiti,3
Belize,Montserrat,3
Belize,Nicaragua,7
Belize,Saint Kitts and Nevis,3
Belize,Saint Vincent and the Grenadines,1
Benin,Algeria,3
Benin,Cameroon,1
Benin,DR Congo,4
Benin,Gambia,3
Benin,Ghana,1
Benin,Guinea-Bissau,1
Benin,Madagascar,3
