Food Name,Country/Region,Description,Calories,Serving Type,Main Ingredients,Category,Preparation Time,Popularity Rank
Tacos,Mexico,Corn tortilla filled with meat and vegetables.,250,Hot,Varies,Snack,15,1
Shawarma,Lebanon,Middle Eastern wrap with meat and vegetables.,251,Cold,Varies,Main Course,20,2
Banh Mi,Vietnam,Vietnamese baguette sandwich with pickled vegetables.,252,Cold,Varies,Snack,25,3
Churros,Spain,Sweet fried dough sticks coated in sugar.,253,Hot,Varies,Main Course,30,4
Pani Puri,India,Crispy semolina puffs filled with spicy water.,254,Cold,Varies,Snack,35,5
Arepas,Colombia,Cornmeal patties filled with meat or cheese.,255,Cold,Varies,Main Course,15,6
Gyoza,Japan,Pan-fried dumplings.,256,Hot,Varies,Snack,20,7
Diner Kebab,Turkey,Grilled meat served in flatbread.,257,Cold,Varies,Main Course,25,8
Empanadas,Argentina,Pastry filled with meat or cheese.,258,Cold,Varies,Snack,30,9
Pho,Vietnam,Vietnamese noodle soup.,259,Hot,Varies,Main Course,35,10
Pad Thai,Thailand,Thai stir-fried noodles.,260,Cold,Varies,Snack,15,11
Jerk Chicken,Jamaica,Grilled chicken marinated with spices.,261,Cold,Varies,Main Course,20,12
Falafel,Middle East,Chickpea fritters.,262,Hot,Varies,Snack,25,13
Pierogi,Poland,Dumplings filled with potatoes or cheese.,263,Cold,Varies,Main Course,30,14
Bhel Puri,India,Indian snack with puffed rice and chutneys.,264,Cold,Varies,Snack,35,15
Satay,Indonesia,Skewered and grilled meat.,265,Hot,Varies,Main Course,15,16
Tamales,Mexico,Corn dough wrapped in leaves.,266,Cold,Varies,Snack,20,17
Samosa,India,Fried or baked pastry filled with potatoes.,267,Cold,Varies,Main Course,25,18
Ceviche,Peru,Seafood marinated in lime juice.,268,Hot,Varies,Snack,30,19
Koshari,Egypt,"Egyptian mix of rice, lentils, and pasta.",269,Cold,Varies,Main Course,35,20
Vada Pav,India,Indian burger with spiced potato patty.,270,Cold,Varies,Snack,15,21
Hot Dogs,USA,Grilled sausage in a bun.,271,Hot,Varies,Main Course,20,22
Corn Dogs,USA,Sausage on a stick coated in batter.,272,Cold,Varies,Snack,25,23
Takoyaki,Japan,Fried dough balls with octopus filling.,273,Cold,Varies,Main Course,30,24
Baklava,Turkey,Sweet layered pastry with nuts.,274,Hot,Varies,Snack,35,25
Khachapuri,Georgia,Cheese-filled bread.,275,Cold,Varies,Main Course,15,26
